id,nome,regiao-intermediaria,sub-regiao
4,Afeganistão,,34 - Ásia meridional (Sul da Ásia)
8,Albânia,,39 - Europa meridional  (Sul da Europa)
12,Argélia,,15 - África setentrional (Norte da África)
20,Andorra,,39 - Europa meridional  (Sul da Europa)
24,Angola,17 - África central,202 - África subsaariana
28,Antígua e Barbuda,29 - Caribe,419 - América Latina e Caribe
31,Azerbaijão,,145 - Ásia ocidental  (Oeste da Ásia)
32,Argentina,5 - Ámerica do sul,419 - América Latina e Caribe
36,Austrália,,53 - Austrália e Nova Zelândia
40,Áustria,,155 - Europa ocidental (Oeste da Europa)
44,Bahamas,29 - Caribe,419 - América Latina e Caribe
48,Barein,,145 - Ásia ocidental  (Oeste da Ásia)
50,Bangladesh,,34 - Ásia meridional (Sul da Ásia)
51,Armênia,,145 - Ásia ocidental  (Oeste da Ásia)
52,Barbados,29 - Caribe,419 - América Latina e Caribe
56,Bélgica,,155 - Europa ocidental (Oeste da Europa)
64,Butão,,34 - Ásia meridional (Sul da Ásia)
68,Bolívia,5 - Ámerica do sul,419 - América Latina e Caribe
70,Bósnia e Herzegovina,,39 - Europa meridional  (Sul da Europa)
72,Botsuana,18 - África meridional (Sul da África),202 - África subsaariana
76,Brasil,5 - Ámerica do sul,419 - América Latina e Caribe
84,Belize,13 - América central,419 - América Latina e Caribe
90,Ilhas Salomão,,54 - Melanésia
96,Brunei,,35 - Sudeste da Ásia
100,Bulgária,,151 - Europa oriental (Leste da Europa)
104,Mianmar,,35 - Sudeste da Ásia
108,Burundi,14 - África oriental (Leste da África),202 - África subsaariana
112,Belarus,,151 - Europa oriental (Leste da Europa)
116,Camboja,,35 - Sudeste da Ásia
120,Camarões,17 - África central,202 - África subsaariana
124,Canadá,,21 - América do Norte
132,Cabo Verde,11 - África ocidental (Oeste da África),202 - África subsaariana
140,República Centro Africana,17 - África central,202 - África subsaariana
144,Sri Lanka,,34 - Ásia meridional (Sul da Ásia)
148,Chade,17 - África central,202 - África subsaariana
152,Chile,5 - Ámerica do sul,419 - América Latina e Caribe
156,China,,30 - Ásia oriental (Leste da Ásia)
170,Colômbia,5 - Ámerica do sul,419 - América Latina e Caribe
174,Comores,14 - África oriental (Leste da África),202 - África subsaariana
178,Congo,17 - África central,202 - África subsaariana
180,República Democrática do Congo,17 - África central,202 - África subsaariana
188,Costa Rica,13 - América central,419 - América Latina e Caribe
191,Croácia,,39 - Europa meridional  (Sul da Europa)
192,Cuba,29 - Caribe,419 - América Latina e Caribe
196,Chipre,,145 - Ásia ocidental  (Oeste da Ásia)
203,República Tcheca,,151 - Europa oriental (Leste da Europa)
204,Benin,11 - África ocidental (Oeste da África),202 - África subsaariana
208,Dinamarca,,154 - Europa setentrional (Norte da Europa)
212,Dominica,29 - Caribe,419 - América Latina e Caribe
214,República Dominicana,29 - Caribe,419 - América Latina e Caribe
218,Equador,5 - Ámerica do sul,419 - América Latina e Caribe
222,El Salvador,13 - América central,419 - América Latina e Caribe
226,Guiné Equatorial,17 - África central,202 - África subsaariana
231,Etiópia,14 - África oriental (Leste da África),202 - África subsaariana
232,Eritréia,14 - África oriental (Leste da África),202 - África subsaariana
233,Estônia,,154 - Europa setentrional (Norte da Europa)
242,Fiji,,54 - Melanésia
246,Finlândia,,154 - Europa setentrional (Norte da Europa)
250,França,,155 - Europa ocidental (Oeste da Europa)
262,Djibouti,14 - África oriental (Leste da África),202 - África subsaariana
266,Gabão,17 - África central,202 - África subsaariana
268,Geórgia,,145 - Ásia ocidental  (Oeste da Ásia)
270,Gâmbia,11 - África ocidental (Oeste da África),202 - África subsaariana
276,Alemanha,,155 - Europa ocidental (Oeste da Europa)
288,Gana,11 - África ocidental (Oeste da África),202 - África subsaariana
296,Kiribati,,57 - Micronésia
300,Grécia,,39 - Europa meridional  (Sul da Europa)
308,Granada,29 - Caribe,419 - América Latina e Caribe
320,Guatemala,13 - América central,419 - América Latina e Caribe
324,Guiné,11 - África ocidental (Oeste da África),202 - África subsaariana
328,Guiana,5 - Ámerica do sul,419 - América Latina e Caribe
332,Haiti,29 - Caribe,419 - América Latina e Caribe
340,Honduras,13 - América central,419 - América Latina e Caribe
348,Hungria,,151 - Europa oriental (Leste da Europa)
352,Islândia,,154 - Europa setentrional (Norte da Europa)
356,Índia,,34 - Ásia meridional (Sul da Ásia)
360,Indonésia,,35 - Sudeste da Ásia
364,Irã,,34 - Ásia meridional (Sul da Ásia)
368,Iraque,,145 - Ásia ocidental  (Oeste da Ásia)
